bar_index,time_sec,time_signature
0,0.963628,4/4
1,2.461315,4/4
2,3.959002,4/4
3,5.456689,4/4
4,6.965986,4/4
5,8.475283,4/4
6,9.961361,4/4
7,11.447438,4/4
8,12.945125,4/4
9,14.431202,4/4
10,15.940499,4/4
11,17.426576,4/4
12,18.912653,4/4
13,20.387120,4/4
14,21.768707,4/4
15,23.219955,4/4
16,24.601542,4/4
17,26.099229,4/4
18,27.620136,4/4
19,29.094603,4/4
20,30.661950,4/4
21,32.066757,4/4
22,33.634104,4/4
23,35.062132,4/4
24,36.617868,4/4
25,38.080726,4/4
26,39.590023,4/4
27,41.087710,4/4
28,42.538957,4/4
29,44.094694,4/4
30,45.592381,4/4
31,47.078458,4/4
32,48.587755,4/4
33,50.085442,4/4
34,51.583129,4/4
35,53.115646,4/4
36,54.590113,4/4
37,56.076190,4/4
38,57.597098,4/4
39,59.071565,4/4
40,60.604082,4/4
41,62.101769,4/4
42,63.622676,4/4
43,65.085533,4/4
44,66.594830,4/4
45,68.092517,4/4
46,69.590204,4/4
47,71.087891,4/4
48,72.585578,4/4
49,74.071655,4/4
50,75.592562,4/4
51,77.090249,4/4
52,78.564717,4/4
53,80.108844,4/4
54,81.583311,4/4
55,83.104218,4/4
56,84.601905,4/4
57,86.099592,4/4
58,87.608889,4/4
59,89.094966,4/4
60,90.581043,4/4
61,92.078730,4/4
62,93.599637,4/4
63,95.097324,4/4
64,96.583401,4/4
65,98.092698,4/4
66,99.590385,4/4
67,101.088073,4/4
68,102.597370,4/4
69,104.095057,4/4
70,105.569524,4/4
71,107.078821,4/4
72,108.599728,4/4
73,110.097415,4/4
74,111.606712,4/4
75,113.092789,4/4
76,114.602086,4/4
77,116.099773,4/4
78,117.597460,4/4
79,119.060317,4/4
80,120.627664,4/4
81,122.102132,4/4
82,123.623039,4/4
83,125.109116,4/4
84,126.595193,4/4
85,128.092880,4/4
86,129.602177,4/4
87,131.099864,4/4
88,132.597551,4/4
89,134.095238,4/4
90,135.604535,4/4
91,137.102222,4/4
92,138.599909,4/4
93,140.097596,4/4
94,141.606893,4/4
95,143.104580,4/4
96,144.590658,4/4
97,146.099955,4/4
98,147.609252,4/4
99,149.095329,4/4
100,150.581406,4/4
101,152.102313,4/4
102,153.600000,4/4
103,155.097687,4/4
104,156.606984,4/4
105,158.104671,4/4
106,159.613968,4/4
107,161.076825,4/4
108,162.597732,4/4
109,164.095420,4/4
110,165.593107,4/4
111,167.102404,4/4
112,168.611701,4/4
113,170.109388,4/4
114,171.607075,4/4
115,173.116372,4/4
116,174.602449,4/4
117,176.111746,4/4
118,177.609433,4/4
119,179.130340,4/4
120,180.616417,4/4
121,182.114104,4/4
122,183.565351,4/4
123,185.074649,4/4
124,186.502676,4/4
125,188.093243,4/4
126,189.637370,4/4
127,191.123447,4/4
128,192.621134,4/4
129,194.142041,4/4
130,195.709388,4/4
131,197.137415,4/4
132,198.635102,4/4
133,200.051519,4/4
134,201.456327,4/4
135,202.942404,4/4
136,204.289161,4/4
137,205.775238,4/4
138,207.238095,4/4
139,208.747392,4/4
140,210.245079,4/4
141,211.742766,4/4
142,213.240454,4/4
143,214.738141,4/4
144,216.247438,4/4
145,217.745125,4/4
146,219.242812,4/4
147,220.740499,4/4
148,222.249796,4/4
